[2021-12-05 17:58:52,697] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2021-12-05 18:00:29,978] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2021-12-05 18:00:30,008] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 54 and epoch zk version is now 54 (kafka.controller.KafkaController)
[2021-12-05 18:00:30,010] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2021-12-05 18:00:30,015] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2021-12-05 18:00:30,019] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2021-12-05 18:00:30,022] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2021-12-05 18:00:30,050] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 1745) (kafka.controller.KafkaController)
[2021-12-05 18:00:30,078] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2021-12-05 18:00:30,104] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2021-12-05 18:00:30,116] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2021-12-05 18:00:30,116] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2021-12-05 18:00:30,117] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2021-12-05 18:00:30,117] INFO [Controller id=0] Current list of topics in the cluster: Set(enviarMapa, respuestaComprobarUsuario, enviarSensor, enviarMovimiento, comprobarUsuario) (kafka.controller.KafkaController)
[2021-12-05 18:00:30,117] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2021-12-05 18:00:30,123] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,123] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,124] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2021-12-05 18:00:30,125] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
[2021-12-05 18:00:30,126] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2021-12-05 18:00:30,144] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2021-12-05 18:00:30,151] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2021-12-05 18:00:30,158] INFO [RequestSendThread controllerId=0] Controller 0 connected to Pablo-Bernabeu:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2021-12-05 18:00:30,192] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2021-12-05 18:00:30,193] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map([Topic=enviarMovimiento,Partition=0,Replica=0] -> OnlineReplica, [Topic=enviarMapa,Partition=0,Replica=0] -> OnlineReplica, [Topic=respuestaComprobarUsuario,Partition=0,Replica=0] -> OnlineReplica, [Topic=comprobarUsuario,Partition=0,Replica=0] -> OnlineReplica, [Topic=enviarSensor,Partition=0,Replica=0] -> OnlineReplica) (kafka.controller.ZkReplicaStateMachine)
[2021-12-05 18:00:30,194] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2021-12-05 18:00:30,202] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2021-12-05 18:00:30,208] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map(comprobarUsuario-0 -> OnlinePartition, enviarSensor-0 -> OnlinePartition, respuestaComprobarUsuario-0 -> OnlinePartition, enviarMapa-0 -> OnlinePartition, enviarMovimiento-0 -> OnlinePartition) (kafka.controller.ZkPartitionStateMachine)
[2021-12-05 18:00:30,208] INFO [Controller id=0] Ready to serve as the new controller with epoch 54 (kafka.controller.KafkaController)
[2021-12-05 18:00:30,216] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,217] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,217] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,218] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2021-12-05 18:00:30,220] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
